['Q3', 0.6089008299293047, ['HDC', 0.7081724765216784], ['res', 0.6579082239748324], ['McRae', 0.635950624435947], ['jcn', 0.6154477235373255], ['lch', 0.5272623802090491], ['wup', 0.508663550896996]]
['Q1', 0.6085337680314437, ['HDC', 0.7279738000514329], ['McRae', 0.6607765197456651], ['res', 0.6380032917504784], ['jcn', 0.6132732317473484], ['lch', 0.5162696638479156], ['wup', 0.4949061010458211]]
['Q14', 0.5538783985729908, ['HDC', 0.7370220778310216], ['McRae', 0.653609871725065], ['jcn', 0.556528252202636], ['res', 0.5329483621655592], ['lch', 0.44364239746701284], ['wup', 0.39951943004664997]]
['Q0', 0.5177912078406809, ['HDC', 0.8086859655048457], ['McRae', 0.7170622794469604], ['jcn', 0.49000733779603733], ['res', 0.4772538190233982], ['lch', 0.32089019526056856], ['wup', 0.29284765001227514]]
['Q15', 0.49405919601348813, ['HDC', 0.7043296492487244], ['McRae', 0.6399808913880193], ['jcn', 0.4581763074636498], ['res', 0.4467198054242992], ['lch', 0.37075370235392696], ['wup', 0.344394820202309]]
['Q20', 0.49405919601348813, ['HDC', 0.7043296492487244], ['McRae', 0.6399808913880193], ['jcn', 0.4581763074636498], ['res', 0.4467198054242992], ['lch', 0.37075370235392696], ['wup', 0.344394820202309]]
['Q5', 0.4907824426039467, ['HDC', 0.7498058847779819], ['McRae', 0.6786854055375082], ['jcn', 0.4643808421122841], ['res', 0.43388148680387506], ['lch', 0.32836536258898485], ['wup', 0.28957567380304633]]
['Q13', 0.4905451990663591, ['HDC', 0.608364615313708], ['res', 0.5350306814650942], ['McRae', 0.5022504997756354], ['jcn', 0.46418381506899464], ['wup', 0.430458008408594], ['lch', 0.40298357436612836]]
['Q4', 0.47726669212734735, ['HDC', 0.7385516371109792], ['McRae', 0.6455839611849384], ['jcn', 0.5078925830088648], ['res', 0.43159237997552846], ['lch', 0.2901619411443947], ['wup', 0.24981765033937842]]
['Q7', 0.4599424665055098, ['HDC', 0.7667086100061106], ['McRae', 0.6833085497340586], ['jcn', 0.47148039068649616], ['res', 0.36417057243879136], ['lch', 0.26564228435208287], ['wup', 0.20834439181551898]]
['Q10', 0.44911252670412966, ['HDC', 0.6773304597050808], ['McRae', 0.6758511938086206], ['jcn', 0.5123562728681436], ['res', 0.3549971332814946], ['lch', 0.24180207512686328], ['wup', 0.23233802543457516]]
['Q16', 0.4419834383537362, ['HDC', 0.7114490583999775], ['McRae', 0.603760030288089], ['res', 0.4152070185879248], ['jcn', 0.3735432545604623], ['lch', 0.290225162377047], ['wup', 0.2577161059089167]]
['Q11', 0.42598568604019565, ['HDC', 0.6924975876606585], ['McRae', 0.5666839011935533], ['res', 0.4249227783079378], ['jcn', 0.3340300672305577], ['lch', 0.2708000072092385], ['wup', 0.2669797746392285]]
['Q18', 0.4106349500603616, ['HDC', 0.6563984092931024], ['McRae', 0.5714051755134276], ['res', 0.4225331518416474], ['jcn', 0.28996819178530114], ['lch', 0.26779045464200063], ['wup', 0.25571431728669064]]
['Q19', 0.4106349500603616, ['HDC', 0.6563984092931024], ['McRae', 0.5714051755134276], ['res', 0.4225331518416474], ['jcn', 0.28996819178530114], ['lch', 0.26779045464200063], ['wup', 0.25571431728669064]]
['Q9', 0.3461294748205419, ['HDC', 0.6369067812300335], ['McRae', 0.5350762552782452], ['res', 0.3069277649687413], ['jcn', 0.2648953085977003], ['lch', 0.17496285092297997], ['wup', 0.15800788792555132]]
['Q12', 0.3256680374971715, ['HDC', 0.5791252868897057], ['McRae', 0.5420513893151659], ['jcn', 0.40859858007456784], ['res', 0.1943075984516023], ['lch', 0.12955483267471923], ['wup', 0.10037053757726803]]
['Q2', 0.3242131770851582, ['HDC', 0.5225844360172411], ['McRae', 0.47627983057545065], ['jcn', 0.33915994170145214], ['res', 0.3141733300628771], ['lch', 0.16184015926020992], ['wup', 0.13124136489371813]]
['Q8', 0.32200387840839606, ['HDC', 0.6987672443133005], ['McRae', 0.5901324986927545], ['jcn', 0.3136107904365882], ['res', 0.2307444593839271], ['lch', 0.06578378785821187], ['wup', 0.03298448976559396]]
['Q6', 0.26192305793768833, ['HDC', 0.5662458734317043], ['McRae', 0.46191769306451463], ['jcn', 0.3247101757899044], ['res', 0.21855167207299123], ['wup', 0.001333920146772537], ['lch', -0.0012209868797572]]
['Q17', 0.14693446001211052, ['McRae', 0.44079100877676336], ['HDC', 0.3967223013955498], ['jcn', 0.10522105309634659], ['res', 0.05569893836497998], ['lch', -0.049080072278441], ['wup', -0.06774646928253553]]
